,ArtistId,Artist,Listeners,Scrobbles,Tag1,Tag2,Tag3,Tag4,Tag5
455,081a2d60-9791-4e05-a075-f1890355eeee,DJ Khaled,1231957,14090087,Hip-Hop,rap,hip hop,miami,djs
456,dd4458c8-6728-4a44-980c-48107fa72bb8,DJ Koze,310681,4810326,electronic,minimal,techno,Kompakt,electronica
457,efa2c11a-1a35-4b60-bc1b-66d37de88511,DJ Shadow,1329778,36976046,trip-hop,electronic,Hip-Hop,turntablism,electronica
458,31445b1e-96f3-4c7f-84ec-dd02e647e690,DJ Snake,712206,10826230,trap,electronic,dance,EDM,seen live
459,f3bf61f8-97d4-4e52-a73d-2ddbbe8196c8,DMX,1482137,17097827,rap,Hip-Hop,Gangsta Rap,hip hop,dmx
460,,DNCE,412515,5533522,pop,pop rock,dance,american,joe jonas
461,f984ebbf-8534-4163-9cb8-295c91535446,DREAMS COME TRUE,64673,2213956,j-pop,japanese,JPop,female vocalists,pop
462,,DaBaby,153645,4612449,Hip-Hop,rap,trap,DaBaby,hip hop
463,2f522f5c-111c-4ce8-8bd0-d82e97c227ad,Daddy Yankee,812627,11086822,Reggaeton,latin,Hip-Hop,spanish,rap
464,056e4f3e-d505-4dad-8ec1-d04f521cbb56,Daft Punk,3864620,215046210,electronic,dance,House,electronica,techno
465,cbfb9bcd-c5a0-4d7c-865f-2c641c171e1c,Damian Marley,835682,13517158,reggae,dancehall,ragga,jamaica,Hip-Hop
466,2119beb8-6ac5-4f21-82a4-b831c90c0024,Damien Rice,1780600,54215081,singer-songwriter,acoustic,indie,folk,irish
467,0116fe24-08a3-4c6c-84b4-f52852eaa57c,Dan Stevens,22635,123875,pop,Soundtrack,musicals,musical,male vocalists
468,f7ab8acf-e859-468d-b335-d2dcc7671cb1,Dance With The Dead,115032,5596354,synthwave,synthpop,electronic,retro electro,retrowave
469,,Danger Incorporated,55759,1302118,cloud rap,Hip-Hop,rap,experimental,rnb
470,,Daniel Caesar,256031,7881069,rnb,soul,Canadian,Neo-Soul,canada
471,32cfbaf8-87aa-466b-9c1a-331ad9075ea2,Daniel Powter,839728,6922937,pop,singer-songwriter,alternative,Canadian,rock
472,960afc67-9c21-46dd-9c7f-ff2b509e3150,Danny Brown,475628,23568876,Hip-Hop,rap,seen live,underground hip-hop,detroit
473,f03994e9-a05d-4a70-b43f-51a6f5e39c23,Darkside,237673,5020738,electronic,minimal,seen live,experimental,ambient
474,af953ba2-283b-41ef-93bc-b4cfc5feeebc,Darlene Love,373852,1853605,soul,pop,female vocalists,60s,christmas
475,9ffad8aa-b671-4a9a-a527-a95bdaaa0ec4,Darude,746277,6009481,trance,electronic,dance,techno,electronica
476,535707ce-ad97-4b73-946e-9ca27869fd3c,Datarock,445744,6117898,electronic,seen live,indie,new rave,norwegian
477,a1ced3e5-476c-4046-bd74-d428f419989b,Daughter,797952,28638230,indie,indie folk,acoustic,female vocalists,british
478,de0222a6-e1c4-403d-8b01-3f66d505061b,Dave Brubeck,642924,7594539,jazz,piano,jazz piano,cool jazz,instrumental
479,47f67b22-affe-4fe1-9d25-853d69bc0ee3,Dave Dobbyn,34346,287988,New Zealand,Kiwi,nz,seen live,Kiwi Music
480,5441c29d-3602-4898-b1a1-b77fa23b8e50,David Bowie,3443753,202094642,rock,glam rock,classic rock,80s,alternative
481,302bd7b9-d012-4360-897a-93b00c855680,David Guetta,2866402,92160811,House,dance,electronic,club,techno
482,a9ae7d4b-10f0-4da8-8b8c-21722a074a54,Davido,42870,355645,nigeria,afrobeat,africa,naija,DavidO
483,68ffdf6b-001c-41ed-aa3a-20ec0128f627,Dawid Podsiadło,78473,6222691,seen live,polish,indie,rock,folk
484,,Dawin,83228,473484,Hip-Hop,rap,electronic,USA,american
485,,Day Wave,158023,1498674,indie,dream pop,indie rock,seen live,Surf
486,,Daya,250397,2414686,pop,indie,indie pop,american,female vocalists
487,dd2a8dee-59ea-4df8-978a-25403da4db97,De Jeugd van Tegenwoordig,116208,5461026,seen live,Hip-Hop,dutch,nederhop,rap
488,a8ebde98-7e91-46c7-992c-90039ba42017,De La Soul,878866,16546327,Hip-Hop,rap,hip hop,seen live,alternative rap
489,ccda046a-2674-4f7d-97e6-f23d6c156432,Dead Can Dance,511756,29800799,ambient,ethereal,darkwave,Gothic,world
490,5e6c760b-42e0-4df4-a221-0269355da00a,Dean Martin,1338717,16914932,jazz,swing,oldies,easy listening,lounge
491,0039c7ae-e1a7-4a7d-9b49-0cbc716821a6,Death Cab for Cutie,2882305,170719781,indie,indie rock,alternative,seen live,rock
492,f9133036-ab3d-4e97-bd11-7a2c98ad148a,Death Grips,420812,43225302,Hip-Hop,experimental,experimental rap,rap,experimental hip-hop
493,463f056c-56bf-429d-b3a3-f8fe467c427d,Death in June,194886,13595818,neofolk,apocalyptic folk,dark folk,industrial,experimental
494,5b32946a-4c08-4a75-b1b1-60700470671f,Death in Vegas,671744,8682635,electronic,trip-hop,alternative,electronica,indie
495,67468e38-0c90-4318-b2d2-0c18b7b1e144,Deep Forest,411105,6831332,new age,ambient,electronic,world,chillout
496,79491354-3d83-40e3-9d8e-7592d58d790a,Deep Purple,2165693,53950024,hard rock,classic rock,rock,Progressive rock,heavy metal
497,4f416ed7-dda2-45de-a6f1-b986e861cf4b,Deerhunter,871889,41634161,shoegaze,experimental,psychedelic,seen live,indie
498,7527f6c2-d762-4b88-b5e2-9244f1e34c46,Deftones,1767150,102690764,Nu Metal,metal,alternative,alternative rock,rock
499,5de80871-f721-4c7c-b0c5-4ad0d350c232,Deichkind,346211,11604438,electronic,seen live,german,Hip-Hop,hip hop
500,2e885bfb-1f59-49cf-8d51-e743445e1b48,Del Shannon,399445,2732035,60s,oldies,rock n roll,classic rock,Rock and Roll
501,840523b6-1896-4bab-bdba-2b44982cc77c,Delroy Edwards,33695,513921,House,electronic,outsider house,techno,deep house
502,faf4cefb-036c-4c88-b93a-5b03dd0a0e6b,Demi Lovato,1358895,64067745,pop,pop rock,female vocalists,Disney,guilty pleasure
503,,Dennis Lloyd,202093,2028880,indie,indie pop,pop,israeli,reggae
504,724ffc08-6987-40b0-b107-03bb95a82b80,Deorro,416675,4165937,House,dance,electronic,Progressive House,club
505,8538e728-ca0b-4321-b7e5-cff6565dd4c0,Depeche Mode,2743937,170216315,electronic,new wave,80s,synthpop,synth pop
506,2155a81a-f0c6-417a-9b16-2f86f98bb8bc,Derek and the Dominos,837355,6867868,classic rock,blues rock,blues,rock,70s
507,,Desiigner,321702,3342752,Hip-Hop,rap,trap,hip hop,american
508,a796b92e-c137-4895-9c89-10f900617a4f,Destiny's Child,1865657,23234240,rnb,pop,female vocalists,soul,Hip-Hop
509,e39cdc7d-5eed-453b-859b-1ac62478f46a,Destroyer,529596,14826002,indie,seen live,indie rock,Canadian,singer-songwriter
510,0110e63e-0a9b-4818-af8e-41e180c20b9a,Devendra Banhart,1052773,46395495,folk,singer-songwriter,indie,freak folk,New Weird America
511,d2db1078-c170-4e22-b261-14f3ad60a690,Devo,801261,14648768,new wave,post-punk,80s,alternative,rock
512,a36d5b2b-ccd3-47ec-83fb-73bd69f5687c,Dewa 19,22468,1070923,indonesia,rock,indonesian,pop,pop rock
513,ccce2053-7007-4c36-b1e7-f8fcf5023a12,Dexys Midnight Runners,737577,5313310,new wave,80s,post-punk,british,pop
514,67d2cb7a-9ddb-4a7f-82bf-5a2d1a038e98,Diana Krall,1113846,20044263,jazz,female vocalists,vocal jazz,piano,blues
515,60d41417-feda-4734-bbbf-7dcc30e08a83,Diana Ross,940479,8074709,soul,female vocalists,Disco,pop,motown
516,22fa6038-d14c-4aab-a057-d397132e9191,Diary of Dreams,131191,11701004,darkwave,Gothic,industrial,electronic,german
517,d1353a0c-26fb-4318-a116-defde9c7c9ad,Dido,1950120,38367032,pop,female vocalists,singer-songwriter,chillout,alternative
518,17167af8-c1da-45cc-bba2-9d23f068b7a3,Dimmu Borgir,507005,33057504,black metal,Symphonic Black Metal,melodic black metal,metal,norwegian
519,d385947d-c00d-4311-9cf1-a032a1d4040b,Dinah Washington,747765,6203785,jazz,female vocalists,blues,jazz vocal,vocal jazz
520,77c167d2-4965-4421-830a-9815e4956475,Dinosaur Jr.,832086,25971308,alternative,indie rock,seen live,Grunge,indie
521,614e3804-7d34-41ba-857f-811bad7c2b7a,Dire Straits,2197320,57962070,classic rock,rock,80s,blues,guitar
522,ae65c507-d9a0-4d42-9a6c-2b1f82158b9f,Disclosure,1043930,33786998,electronic,seen live,future garage,UK Garage,House
523,dc75517c-d268-486d-bd5b-0eaff34eeef9,Disturbed,2417876,110294154,metal,Nu Metal,hard rock,rock,alternative
524,fdae985a-b8e1-4a2b-919d-8ee12cec403e,Divididos,78640,1642664,Rock Argentino,rock,argentina,rock argento,hard rock
525,3248ed2d-bada-41b5-a7b6-ac88faa1f1ac,Dixie Chicks,704836,10644059,country,female vocalists,bluegrass,folk,pop
526,1a99cc88-aea3-4fe3-96b9-20791667f65f,Dizzee Rascal,801355,13455446,Grime,Hip-Hop,seen live,rap,british
527,5df62a88-cac9-490a-b62c-c7c88f4020f4,Doja Cat,224488,6218558,rnb,pop,rap,Hip-Hop,female vocalists
528,1d543e07-d0d2-4834-a8db-d65c50c2a856,Dolly Parton,990286,11503045,country,female vocalists,singer-songwriter,bluegrass,folk
529,fa19ee38-c2a9-4ed1-9b24-a18100cf9db3,Don McLean,772788,6204522,classic rock,folk,singer-songwriter,70s,rock
530,afbdfac9-2955-4404-ae22-c08bf1c1b51e,Don Omar,630290,7157238,Reggaeton,latin,Hip-Hop,spanish,latino
531,b60527cc-54f3-4bbe-a01b-dcf34c95ae14,Donna Summer,910093,9510935,Disco,pop,70s,dance,female vocalists
532,3f6ae36d-ffdb-40cf-98e6-8023cb1c41c9,Donny Hathaway,497537,3637062,soul,funk,jazz,70s,rnb
533,d03a507f-4b3f-4188-8635-52ef78338e23,Donovan,880335,11300657,folk,singer-songwriter,60s,psychedelic,classic rock
534,e9aed5e5-ed35-4244-872e-194862290295,Dr. Dog,588189,14096780,seen live,indie,indie rock,Lo-Fi,alternative
535,5f6ab597-f57a-40da-be9e-adad48708203,Dr. Dre,2385366,40301062,Hip-Hop,rap,Gangsta Rap,hip hop,west coast
536,cfdc2699-68a5-4834-9fac-a9a59d77ac7a,DrDr,11498,52397,electronic,dubstep,indie,dance,minimal
537,db0793c3-02c5-49f2-acde-7b3834e32876,Draconian,193122,9497476,doom metal,Gothic Metal,Gothic Doom Metal,Female fronted metal,metal
538,b49b81cc-d5b7-4bdd-aadb-385df8de69a6,Drake,3495973,155182887,Hip-Hop,rap,rnb,Canadian,hip hop
539,,Drake ,0,0,rap,hip hop,Hip-Hop,electronic,trap
540,28503ab7-8bf2-4666-a7bd-2644bfc7cb1d,Dream Theater,1036031,97241961,Progressive metal,Progressive rock,metal,Progressive,rock
541,e92b6c15-6dc9-4e98-86ed-55505b378e51,Drengene fra Angora,15587,176172,comedy,danish,dansk,satire,rock
542,e8374874-4178-4869-b92e-fef6bf30dc04,Dropkick Murphys,1049431,46146790,punk,punk rock,seen live,folk punk,irish
543,87a73cf0-ebdf-483d-8b5a-3db1e5e72122,Drowning Pool,1350230,22561318,Nu Metal,metal,hard rock,alternative metal,rock
544,,Dua Lipa,618932,28875434,pop,synthpop,female vocalists,british,seen live
545,da4f7583-bb31-49d2-9364-4bdf8bfb351c,Duffy,1406318,21424693,soul,female vocalists,british,pop,singer-songwriter
546,6060d1bb-94f8-4863-89b9-425487f2f6b2,Duke Dumont,505854,5550530,House,electronic,electro,deep house,seen live
547,eb34b261-d9da-4ab4-abd3-34e7690d80ef,Duke Ellington,921051,13068398,jazz,swing,Big Band,piano,blues
548,f8a9a911-47de-49fe-ba96-7e5b5f08b7d0,Duman,118160,3706738,turkish rock,rock,turkish,alternative rock,alternative
549,1a1cd7f3-e5df-4eca-bae2-2757c9e656b5,Duran Duran,1647240,29145118,new wave,80s,pop,synth pop,rock
550,9feea1d6-3e4e-4d3c-b84a-87a12f7cbf94,Dusky,137584,1276643,deep house,House,Progressive House,electronic,downtempo
551,b896aa8c-2761-40ce-b485-0e1fffd26167,Dusty Springfield,1125437,12192845,soul,female vocalists,60s,pop,oldies
552,5f3411dd-4723-430a-a82b-c5580abd5bb0,Dwayne Johnson,81793,610182,Disney,Soundtrack,male vocal,american,musical
553,abd1b98c-b601-4053-aaee-e3b8f35bcf44,EDX,185607,1414720,Progressive House,House,trance,progressive trance,electronic
554,923158cf-9d21-4bce-8040-41e7a497c1c9,ELLEGARDEN,114096,8115924,J-rock,japanese,punk,rock,jrock
555,4a5777b3-f55b-437c-8b23-d9ee7791c7fc,Eagle-Eye Cherry,875845,6938564,rock,pop,alternative,singer-songwriter,swedish
556,f46bd570-5768-462e-b84c-c7c993bbf47e,Eagles,2135631,36319044,classic rock,rock,70s,soft rock,country
557,5c44b1b8-07ad-4aca-ac5d-ebdad8e62e12,Earl Klugh,137534,1416530,Smooth Jazz,jazz,jazz guitar,guitar,Fusion
558,8b22acd6-20e6-4463-a75c-c14b5cfdb666,Earl Sweatshirt,442483,28520142,Hip-Hop,rap,ofwgkta,underground hip-hop,swag
559,,"Earth, Wind ",0,0,funk,soul,Disco,american,rnb
560,02b4a39e-04c0-4eb7-a0eb-c919f3d14154,Eartha Kitt,525152,2686817,jazz,female vocalists,soul,lounge,diva
561,,echo ,0,0,post-punk,seen live,new wave,rock,liverpool
562,53317371-09a4-4bf4-a832-22a9c6704be2,Echosmith,475579,5724737,indie,pop,indie pop,alternative,american
563,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,Ed Sheeran,1771054,97412714,acoustic,british,singer-songwriter,easy-listening,Grime
564,0efe858c-89e5-4e47-906a-356fa953fd6e,Editors,1684874,55289755,seen live,indie,indie rock,british,alternative
565,013c8e5b-d72a-4cd3-8dee-6c64d6125823,Edvard Grieg,763687,7429931,Classical,romantic,norwegian,composers,piano
566,,Edward Sharpe ,0,0,seen live,indie,indie folk,folk,indie rock
567,76255a92-1b9b-4b89-bab2-9c03e781a3ed,Edward Vesala,22503,676967,jazz,free jazz,finnish,ECM,drums
568,14387b0f-765c-4852-852f-135335790466,Eels,1524046,49564661,indie,alternative,rock,indie rock,singer-songwriter
569,df5507cd-4ff3-45bb-ad45-ab85dc1e2ace,Efek Rumah Kaca,37310,1947916,indie,indonesian,alternative,indonesia,pop
570,6f2c537c-5ba4-40f3-8203-7fe05d8d9d76,Egotrippi,60277,1773780,seen live,finnish,rock,pop,Suomi
571,cdcc26ed-818f-4c95-b177-b56ac1410f8f,Eivør Pálsdóttir,58111,1560600,folk,Faroese,female vocalists,jazz,icelandic
572,ed39bf01-1f7e-4fd1-afbe-a58bd47b44e6,Ekatarina Velika,31190,1941919,new wave,rock,serbian,ex-yu,post-punk
573,97d0cf66-ace2-4f89-b126-00f1917316d9,El Cuarteto De Nos,70607,3049762,rock,uruguay,Rock en Espanol,Rock uruguayo,indie
574,147074e5-3ac8-478b-a852-daf4326281af,Elastinen,58460,1981841,seen live,Hip-Hop,finnish,rap,hip hop
575,0c502791-4ee9-4c5f-9696-0602b721ff3b,Electric Light Orchestra,1555694,31732769,classic rock,Progressive rock,rock,70s,british
576,077e3cf3-675d-41e5-8b77-a8d2c7ed377e,Elgato,10309,43166,House,funky,electronic,indie,folk
577,f7602b15-66cc-4b31-b3b6-ed3c0a29eea3,Ella Eyre,244494,2509688,soul,pop,indie,female vocalists,singer-songwriter
578,54799c0e-eb45-4eea-996d-c4d71a63c499,Ella Fitzgerald,1685654,29369607,jazz,female vocalists,blues,swing,jazz vocal
579,,Ella Fitzgerald ,0,0,jazz,blues,swing,female vocalists,vocal jazz
580,,Ella Mai,162843,2771791,rnb,soul,british,Hip-Hop,UK
581,33ca19f4-18c8-4411-98df-ac23890ce9f5,Ellie Goulding,2019315,85902782,female vocalists,electronic,british,indie,indie pop
582,7e42efc4-c5da-4d33-b1fe-81900e83d62f,Ellinoora,15460,475309,finnish,pop,female vocalists,seen live,soul
583,03ad1736-b7c9-412a-b442-82536d63a5c4,Elliott Smith,1706607,104353440,singer-songwriter,indie,folk,acoustic,indie rock
584,7c141de0-f339-4623-8915-c54f21fb078f,Else,56337,335663,electronic,instrumental,electro,thrash metal,french house
585,b83bc61f-8451-4a5d-8b8e-7e9ed295e822,Elton John,2612368,54911163,pop,classic rock,singer-songwriter,rock,piano
586,86139012-695b-42f4-98f1-1f353f7230b4,Eluvium,585983,14155496,ambient,post-rock,instrumental,experimental,electronic
587,01809552-4f87-45b0-afff-2c6f0730a3be,Elvis Presley,2473559,73871676,rock n roll,classic rock,rock,oldies,Rock and Roll
588,aa1d4315-5246-42b2-b62b-f997d046d8b2,Emancipator,563487,20965004,trip-hop,downtempo,electronic,chillout,instrumental
589,7cfaac66-62e5-4fcd-af1b-9d3aa8f68e8b,Emeli Sandé,634831,11945627,soul,british,female vocalists,r'n'b,female vocalist
590,d556c2b0-df65-4b1c-9f90-756692ccafbb,Emilie Nicolas,62485,773461,seen live,norwegian,Norway,pop,female vocalists
591,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Eminem,4624847,209443855,rap,Hip-Hop,Eminem,hip hop,pop
592,,Emma Watson,30125,236310,pop,female vocalists,deathcore,indie,singer-songwriter
593,,Emmsjé Gauti,4778,77835,Hip-Hop,icelandic,iceland,swagalegur,electronic
594,ac7e838c-3d95-47c2-92a9-81767ad7c217,Empire of the Sun,1351281,30782886,electronic,synthpop,australian,electronica,synth pop
595,,Enanitos Verdes,241820,3180438,Rock en Espanol,Rock Argentino,rock,Latin Rock,latin
596,f1d1df24-91af-4d27-83a4-9b4ad29b37eb,Enigma,1019944,33464531,new age,ambient,electronic,chillout,electronica
